attacks,card_format,card_number,card_type,damages,energy,evolution,evolved_from,expansion,hp,illustrators,languages,name,rarity,resistance,retreat_cost,variants,weakness
Zen Spoon;Mind Ruler,Standard,172/185,"Full Art Pokémon,Pokémon V",0;30×,Psychic,Basic,,Vivid Voltage,190,Ayaka Yoshida,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Alakazam V,Rare Ultra,Fighting-30,1,Unlimited,Darkness×2
Wrack Down;Hazardous Claws,Standard,175/185,"Full Art Pokémon,Pokémon V",70;130,Darkness,Basic,,Vivid Voltage,210,Eske Yoshinob,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Drapion V,Rare Ultra,,3,Unlimited,Fighting×2
Peck,Standard,048/073,Pokémon,20,Colorless,Basic,,Champion's Path,50,0313,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Swablu,Common,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Best Punch,Standard,090/185,Pokémon,30,Fighting,Basic,,Vivid Voltage,70,ryoma uratsuka,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Riolu,Common,,1,Unlimited;Reverse Holo,Psychic×2
Rock Tumble;Megaton Fall,Standard,089/185,Pokémon,40;130,Fighting,Basic,,Vivid Voltage,130,nagimiso,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Regirock,Rare Holo,,3,Unlimited;Reverse Holo,Grass×2
Strafe;Flash Impact,Standard,059/189,Pokémon,30;150,Lightning,Stage 1,Electrike,Darkness Ablaze,110,nagimiso,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Manectric,Rare,,1,Unlimited;Reverse Holo,Fighting×2
Thunderbolt,Standard,058/189,Pokémon,50,Lightning,Basic,,Darkness Ablaze,60,Yumi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Electrike,Common,,1,Unlimited;Reverse Holo,Fighting×2
Dazzle Blast;Electric Ball,Standard,057/189,Pokémon,50;130,Lightning,Stage 2,Flaaffy,Darkness Ablaze,150,kodama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Ampharos,Rare,,2,Unlimited;Reverse Holo,Fighting×2
Static Shock,Standard,056/189,Pokémon,40,Lightning,Stage 1,Mareep,Darkness Ablaze,90,Tomokazu Komiya,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Flaaffy,Uncommon,,1,Unlimited;Reverse Holo,Fighting×2
Static Shock,Standard,055/189,Pokémon,20,Lightning,Basic,,Darkness Ablaze,60,sowsow,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Mareep,Common,,1,Unlimited;Reverse Holo,Fighting×2
Double Draw;Zing Zap,Standard,064/189,Pokémon,0;50,Lightning,Basic,,Darkness Ablaze,80,Shin Nagasawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pincurchin,Rare Holo,,2,Unlimited;Reverse Holo,Fighting×2
Risk Taker;Thunder Jolt,Standard,063/189,Pokémon,0;160,Lightning,Stage 1,Toxel,Darkness Ablaze,120,Shin Nagasawa,,Toxtricity,Rare Holo,,2,,Fighting×2
Slap;Static Shock,Standard,062/189,Pokémon,10;20,Lightning,Basic,,Darkness Ablaze,70,Akira Komayama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Toxel,Common,,2,Unlimited;Reverse Holo,Fighting×2
,Standard,174/189,Special Energy,,,,,Darkness Ablaze,,,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Heat Fire Energy,Uncommon,,,Unlimited;Reverse Holo,
,Standard,172/189,Item,,,,,Darkness Ablaze,,Toyste Beach,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Turbo Patch,Uncommon,,,Unlimited;Reverse Holo,
,Standard,165/189,Supporter,,,,,Darkness Ablaze,,take,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Piers,Uncommon,,,Unlimited;Reverse Holo,
,Standard,173/189,Item,,,,,Darkness Ablaze,,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Yell Horn,Uncommon,,,Unlimited;Reverse Holo,
Metal Arms;Cutting Wind,Standard,120/189,Pokémon,10+;80,Metal,Basic,,Darkness Ablaze,120,NC Empire,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Skarmory,Common,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
,Standard,187/189,"Full Art Trainer,Supporter",,,,,Darkness Ablaze,,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Piers,Rare Ultra,,,Unlimited,
Knock Away;Lunge Out,Standard,122/189,Pokémon,30+;50,Metal,Stage 1,Aron,Darkness Ablaze,100,Mizue,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Lairon,Uncommon,Grass-30,3,Unlimited;Reverse Holo,Fire×2
Gigaton Stomp,Standard,123/189,Pokémon,160,Metal,Stage 2,Lairon,Darkness Ablaze,160,Hasuno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Aggron,Rare Holo,Grass-30,3,Unlimited;Reverse Holo,Fire×2
Ram;Headbutt,Standard,121/189,Pokémon,10;20,Metal,Basic,,Darkness Ablaze,70,Naoyo Kimura,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Aron,Common,Grass-30,2,Unlimited;Reverse Holo,Fire×2
,Standard,186/189,"Full Art Trainer,Supporter",,,,,Darkness Ablaze,,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Kabu,Rare Ultra,,,Unlimited,
Swoop Across;Heavy Storm,Standard,185/189,"Full Art Pokémon,Pokémon V",0;160,Colorless,Basic,,Darkness Ablaze,220,Saki Hayashiro,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Salamence V,Rare Ultra,Fighting-30,2,Unlimited,Lightning×2
Trapping Bite,Standard,184/189,"Full Art Pokémon,Galarian Pokémon",60,Metal,Basic,,Darkness Ablaze,200,PLANETA Tsuji,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galarian Stunfisk V,Rare Ultra,Grass-30,4,Unlimited,Fire×2
Hack Off;Slashing Claw,Standard,183/189,"Full Art Pokémon,Pokémon V",30;140,Metal,Basic,,Darkness Ablaze,210,Satoshi Shirai,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Scizor V,Rare Ultra,Grass-30,2,Unlimited,Fire×2
,Standard,189/189,"Full Art Trainer,Supporter",,,,,Darkness Ablaze,,Naoki Saito,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rose,Rare Ultra,,,Unlimited,
,Standard,188/189,"Full Art Trainer,Supporter",,,,,Darkness Ablaze,,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pokémon Breeder's Nurturing,Rare Ultra,,,Unlimited,
,Standard,164/189,Item,,,,,Darkness Ablaze,,Studio Bora Inc.,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Old PC,Uncommon,,,Unlimited;Reverse Holo,
,Standard,163/189,Supporter,,,,,Darkness Ablaze,,take,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Kabu,Uncommon,,,Unlimited;Reverse Holo,
Venomous Fang,Standard,182/189,"Full Art Pokémon,Pokémon V",70,Darkness,Basic,,Darkness Ablaze,180,PLANETA Mochizuki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Crobat V,Rare Ultra,,1,Unlimited,Fighting×2
Drill Run;Heavy Rock Artillery,Standard,181/189,"Full Art Pokémon,Pokémon V",80;210,Fighting,Basic,,Darkness Ablaze,230,Eske Yoshinob,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rhyperior V,Rare Ultra,,4,Unlimited,Grass×2
Paralyzing Bolt;Super Zap Cannon,Standard,180/189,"Full Art Pokémon,Pokémon V",50;190,Lightning,Basic,,Darkness Ablaze,210,Ayaka Yoshida,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Vikavolt V,Rare Ultra,,3,Unlimited,Fighting×2
Searing Flame;Vengeful Flame,Standard,178/189,"Full Art Pokémon,Pokémon V",20;100+,Fire,Basic,,Darkness Ablaze,210,Ayaka Yoshida,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Houndoom V,Rare Ultra,,1,Unlimited,Water×2
Radiating Heat;Burning Train,Standard,179/189,"Full Art Pokémon,Pokémon V",20;180,Fire,Basic,,Darkness Ablaze,210,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Centiskorch V,Rare Ultra,,3,Unlimited,Water×2
,Standard,176/189,Special Energy,,,,,Darkness Ablaze,,,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Powerful Colorless Energy,Uncommon,,,Unlimited;Reverse Holo,
,Standard,175/189,Special Energy,,,,,Darkness Ablaze,,,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Hiding Darkness Energy,Uncommon,,,Unlimited;Reverse Holo,
Dizzying Poison;Blasting Wind,Standard,177/189,"Full Art Pokémon,Pokémon V",0;130,Grass,Basic,,Darkness Ablaze,190,Saki Hayashiro,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Butterfree V,Rare Ultra,,1,Unlimited,Fire×2
Ram,Standard,137/189,Pokémon,20,Colorless,Basic,,Darkness Ablaze,60,Kazuma Koda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dunsparce,Common,,1,Unlimited;Reverse Holo,Fighting×2
Hammer Arm;Claw Slash,Standard,139/189,Pokémon,70;120,Colorless,Stage 1,Teddiursa,Darkness Ablaze,140,Uta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Ursaring,Uncommon,,3,Unlimited;Reverse Holo,Fighting×2
Baby-Doll Eyes;Dig Claws,Standard,138/189,Pokémon,0;20,Colorless,Basic,,Darkness Ablaze,70,Yukiko Baba,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Teddiursa,Common,,2,Unlimited;Reverse Holo,Fighting×2
Feelin' Fine;Tail Smash,Standard,136/189,Pokémon,0;90,Colorless,Stage 1,Sentret,Darkness Ablaze,110,tetsuya koizumi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Furret,Uncommon,,1,Unlimited;Reverse Holo,Fighting×2
Call for Family,Standard,135/189,Pokémon,0,Colorless,Basic,,Darkness Ablaze,60,Mina Nakai,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Sentret,Common,,1,Unlimited;Reverse Holo,Fighting×2
Royal Blaze,Standard,025/185,Pokémon,100+,Fire,Stage 2,Charmeleon,Vivid Voltage,170,Ryuta Fuse,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Charizard,Rare,,3,Unlimited;Reverse Holo;Cracked Ice Holo,Water×2
Collect;Flare,Standard,023/185,Pokémon,0;30,Fire,Basic,,Vivid Voltage,70,MAHOU,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Charmander,Common,,1,Unlimited;Reverse Holo,Water×2
Slash;Raging Flames,Standard,024/185,Pokémon,20;60,Fire,Stage 1,Charmander,Vivid Voltage,90,SATOSHI NAKAI,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Charmeleon,Uncommon,,2,Unlimited;Reverse Holo,Water×2
Bind Down;Jungle Rising,Standard,022/185,Pokémon V,50;100,Grass,Basic,,Vivid Voltage,210,PLANETA Igarashi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Zarude V,Rare Holo V,,1,Unlimited,Fire×2
,Standard,162/189,Stadium,,,,,Darkness Ablaze,,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Glimwood Tangle,Uncommon,,,Unlimited;Reverse Holo,
,Standard,161/189,Item,,,,,Darkness Ablaze,,sadaji,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Familiar Bell,Uncommon,,,Unlimited;Reverse Holo,
,Standard,160/189,"Item,Pokémon Tool",,,,,Darkness Ablaze,,inose yukie,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Cape of Toughness,Uncommon,,,Unlimited;Reverse Holo,
,Standard,159/189,Supporter,,,,,Darkness Ablaze,,Hideki Ishikawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Bird Keeper,Uncommon,,,Unlimited;Reverse Holo,
,Standard,158/189,"Item,Pokémon Tool",,,,,Darkness Ablaze,,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Billowing Smoke,Uncommon,,,Unlimited;Reverse Holo,
,Standard,157/189,"Item,Pokémon Tool",,,,,Darkness Ablaze,,Toyste Beach,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Big Parasol,Uncommon,,,Unlimited;Reverse Holo,
Blasting Wind,Standard,156/189,Pokémon,120,Colorless,Stage 2,Corvisquire,Darkness Ablaze,160,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Corviknight,Rare Holo,Fighting-30,2,Unlimited;Reverse Holo;Darkness Ablaze Stamp,Lightning×2
Peck;Fury Attack,Standard,155/189,Pokémon,30;40×,Colorless,Stage 1,Rookidee,Darkness Ablaze,80,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Corvisquire,Uncommon,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Scrape Off;Smack and Run,Standard,153/189,Pokémon,20;100,Colorless,Stage 1,Skwovet,Darkness Ablaze,120,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Greedent,Rare,,1,Unlimited;Reverse Holo,Fighting×2
Nasty Plot;Sharp Fang,Standard,113/189,Pokémon,0;70,Darkness,Stage 1,Nickit,Darkness Ablaze,100,Akira Komayama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Thievul,Rare,,1,Unlimited;Reverse Holo,Grass×2
Tackle,Standard,151/189,Pokémon,20,Colorless,Basic,,Darkness Ablaze,60,Midori Harada,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Fletchling,Common,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Pluck,Standard,154/189,Pokémon,10,Colorless,Basic,,Darkness Ablaze,60,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rookidee,Common,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Bite;Spiky Knuckle,Standard,114/189,Pokémon V,40;200,Darkness,Basic,,Darkness Ablaze,220,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Grimmsnarl V,Rare Holo V,,2,Unlimited,Grass×2
Whimsy Tackle,Standard,152/189,Pokémon,40,Colorless,Basic,,Darkness Ablaze,70,Akira Komayama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Skwovet,Common,,1,Unlimited;Reverse Holo,Fighting×2
,Standard,171/189,"Item,Pokémon Tool",,,,,Darkness Ablaze,,Ryo Ueda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Struggle Gloves,Uncommon,,,Unlimited;Reverse Holo,
,Standard,169/189,Stadium,,,,,Darkness Ablaze,,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rose Tower,Uncommon,,,Unlimited;Reverse Holo,
,Standard,168/189,Supporter,,,,,Darkness Ablaze,,Yusuke Ohmura,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rose,Uncommon,,,Unlimited;Reverse Holo,
,Standard,167/189,Item,,,,,Darkness Ablaze,70,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rare Fossil,Uncommon,,,Unlimited;Reverse Holo,
,Standard,166/189,Supporter,,,,,Darkness Ablaze,,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pokémon Breeder's Nurturing,Uncommon,,,Unlimited;Reverse Holo,
,Standard,170/189,Stadium,,,,,Darkness Ablaze,,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Spikemuth,Uncommon,,,Unlimited;Reverse Holo,
Horn Attack,Standard,134/189,Pokémon,60,Colorless,Basic,,Darkness Ablaze,110,Anesaki Dynamic,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Tauros,Common,,2,Unlimited;Reverse Holo,Fighting×2
Rally Back;Hammer In,Standard,133/189,Pokémon,30+;100,Colorless,Basic,,Darkness Ablaze,130,kawayoo,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Kangaskhan,Rare Holo,,2,Unlimited;Reverse Holo;Non-holo,Fighting×2
Vengeful Stomp,Standard,132/189,Pokémon,120+,Metal,Stage 1,Cufant,Darkness Ablaze,190,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Copperajah,Rare Holo,Grass-30,4,Unlimited;Reverse Holo,Fire×2
Strength,Standard,131/189,Pokémon,60,Metal,Basic,,Darkness Ablaze,100,Akira Komayama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Cufant,Common,Grass-30,3,Unlimited;Reverse Holo,Fire×2
Energy Link;Heavy Impact,Standard,130/189,Pokémon,30;130,Metal,Stage 1,Meltan,Darkness Ablaze,150,NC Empire,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Melmetal,Rare,Grass-30,4,Unlimited;Reverse Holo,Fire×2
Headbutt;Beam,Standard,129/189,Pokémon,10;20,Metal,Basic,,Darkness Ablaze,70,HYOGONOSUKE,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Meltan,Common,Grass-30,1,Unlimited;Reverse Holo,Fire×2
