name,expansion
Ultra Necrozma,Cosmic Eclipse
Grimmsnarl VMAX,Darkness Ablaze
Pangoro,Team Up
Zapdos,Evolutions
Electivire,Battle Academy (Pikachu)
Salamence,Roaring Skies
Steelix,Lost Thunder
Solgaleo,Guardians Rising
Dragonite,Unified Minds
Volcarona-GX,Cosmic Eclipse
Rhyperior,Unbroken Bonds
Venusaur & Snivy-GX,SM Black Star Promos
Lapras-GX,Sun & Moon
Inteleon VMAX,Rebel Clash
Drednaw VMAX,Champion's Path
Gyarados,Burning Shadows
Aurorus-EX,XY Black Star Promos
Buzzwole-GX,Crimson Invasion
Aggron,Unbroken Bonds
Pikachu-EX,XY Black Star Promos
Toxtricity,Darkness Ablaze
Giratina ◇,Ultra Prism
Toxtricity VMAX,Rebel Clash
Garchomp & Giratina-GX,Unified Minds
Chesnaught BREAK,BREAKthrough
Venusaur & Snivy-GX,Cosmic Eclipse
Raichu-GX,Shining Legends
Blissey,Guardians Rising
Guzzlord,Hidden Fates
Celesteela,SM Black Star Promos
Guzzlord,Forbidden Light
Buzzwole-GX,Hidden Fates
Ho-Oh BREAK,XY Black Star Promos
Regigigas,Crimson Invasion
Emboar,Cosmic Eclipse
Garchomp & Giratina-GX,SM Black Star Promos
M Steelix-EX,Steam Siege
Hoopa-GX,Team Up
Talonflame V,Vivid Voltage
Xerneas ◇,Lost Thunder
Slaking,Celestial Storm
Celesteela,Celestial Storm
Buzzwole-GX,SM Black Star Promos
Special Delivery Charizard,SWSH Black Star Promos
Celesteela,Hidden Fates
Gogoat,Vivid Voltage
Alolan Ninetales-GX,Hidden Fates
Alolan Ninetales-GX,Guardians Rising
Solgaleo ◇,Ultra Prism
Gyarados,Dragon Majesty
Golurk,Cosmic Eclipse
Aegislash VMAX,Vivid Voltage
Turtonator-GX,Guardians Rising
Porygon-Z-GX,SM Black Star Promos
Turtonator-GX,Hidden Fates
Boltund,Sword & Shield
Lucario,Vivid Voltage
Salamence V,Darkness Ablaze
Zeraora-GX,Lost Thunder
Toucannon,Lost Thunder
Toucannon,Vivid Voltage
Aggron,Darkness Ablaze
Pinsir-GX,Hidden Fates
Reshiram-EX,Legendary Treasures
Lucario & Melmetal-GX,Unbroken Bonds
Lucario & Melmetal-GX,SM Black Star Promos
Moltres,SM Black Star Promos
Alolan Raticate-GX,Celestial Storm
Heatran,Lost Thunder
White Kyurem-EX,Legendary Treasures
Hydreigon BREAK,Steam Siege
Reshiram-EX,Next Destinies
Blastoise,Team Up
Arcanine,Evolutions
Butterfree VMAX,Darkness Ablaze
Raichu & Alolan Raichu-GX,Unified Minds
Beartic,Lost Thunder
Blastoise & Piplup-GX,Cosmic Eclipse
White Kyurem-EX,Boundaries Crossed
Primal Kyogre-EX,Primal Clash
Zygarde-GX,Forbidden Light
Primal Kyogre-EX,Ancient Origins
Zygarde-GX,Hidden Fates
Umbreon & Darkrai-GX,Unified Minds
Umbreon & Darkrai-GX,SM Black Star Promos
White Kyurem-EX,BW Black Star Promos
Charizard,Boundaries Crossed
Zygarde,Burning Shadows
Manectric,Darkness Ablaze
Zygarde,SM Black Star Promos
Morpeko V,SWSH Black Star Promos
Dragonite,Roaring Skies
Suicune-GX,Lost Thunder
Beartic,Darkness Ablaze
Lycanroc,Champion's Path
Morpeko V,Sword & Shield
Salamence ex,EX Power Keepers
Unfezant,Rebel Clash
Palkia-GX,Forbidden Light
Machamp,Guardians Rising
Ampharos-GX,Team Up
Black Kyurem-EX,Boundaries Crossed
Black Kyurem-EX,Legendary Treasures
Pikachu-GX,SM Black Star Promos
Charizard-EX,XY Black Star Promos
Charizard-EX,Flashfire
Charizard-EX,Evolutions
Tapu Bulu-GX,Hidden Fates
Charizard ☆ δ,EX Dragon Frontiers
Turtonator,Sword & Shield
Raikou & Suicune LEGEND,Unleashed
Zekrom,Dragon Majesty
Golem,Generations
Tapu Bulu-GX,SM Black Star Promos
Latios-EX,Plasma Freeze
Raikou-GX,SM Black Star Promos
Camerupt,Unified Minds
Milotic V,Rebel Clash
Stonjourner V,Sword & Shield
Black Kyurem-EX,BW Black Star Promos
Kingdra,Primal Clash
Tapu Bulu-GX,Burning Shadows
Duraludon,SWSH Black Star Promos
Golisopod-GX,Burning Shadows
Palkia-GX,Ultra Prism
Hippowdon,Darkness Ablaze
Persian-GX,Unbroken Bonds
Trevenant & Dusknoir-GX,SM Black Star Promos
Slaking,Platinum
Golisopod-GX,Hidden Fates
Zacian,Vivid Voltage
Golisopod-GX,SM Black Star Promos
Rayquaza & Deoxys LEGEND,Undaunted
Thundurus-EX,Roaring Skies
Slaking,Detective Pikachu
M Mewtwo-EX,BREAKthrough
Arceus & Dialga & Palkia-GX,Cosmic Eclipse
Kyurem-EX,Plasma Blast
Kingdra,XY Black Star Promos
Palossand,Cosmic Eclipse
Rayquaza,Legends Awakened
Golem,Flashfire
Lugia BREAK,Fates Collide
Aurorus,Forbidden Light
Infernape LV.X,Diamond & Pearl
Dialga-EX,Phantom Forces
Talonflame BREAK,Steam Siege
Metagross-GX,Guardians Rising
Emboar-EX,BREAKpoint
Vikavolt,SM Black Star Promos
Tyranitar,Fates Collide
Emboar,Black & White
Delphox,Forbidden Light
Charizard,Plasma Storm
Charizard,Legendary Treasures
Tyranitar,XY Black Star Promos
Dialga-GX,Forbidden Light
Vikavolt,Sun & Moon
Tyrantrum,Furious Fists
Dialga-GX,Ultra Prism
Infernape LV.X,DP Black Star Promos
Toxapex-GX,Guardians Rising
Zekrom-EX,Next Destinies
Kangaskhan-GX,SM Black Star Promos
Charizard G LV.X,Supreme Victors
Zekrom-EX,Legendary Treasures
Zekrom-EX,BW Black Star Promos
Charizard G LV.X,DP Black Star Promos
Reshiram-EX,BW Black Star Promos
M Lucario-EX,Furious Fists
Scizor V,Darkness Ablaze
Centiskorch,Champion's Path
Rillaboom,SWSH Black Star Promos
Abomasnow,Unified Minds
Hydreigon,Dragons Exalted
Abomasnow,Rebel Clash
Rillaboom,Darkness Ablaze
Kyogre-EX,XY Black Star Promos
Kyogre-EX,Primal Clash
Pyroar,Cosmic Eclipse
Thundurus-GX,SM Black Star Promos
Crabominable,Sun & Moon
Drednaw,Vivid Voltage
Golem,Hidden Fates
Cinderace V,SWSH Black Star Promos
Hydreigon,Legendary Treasures
Scolipede,Burning Shadows
Braviary,Cosmic Eclipse
Diggersby,Darkness Ablaze
Cinderace V,Rebel Clash
Whiscash,Rebel Clash
Xerneas-EX,XY Black Star Promos
Latios,SM Black Star Promos
Xerneas-EX,XY
Wailord,Cosmic Eclipse
Ampharos,Darkness Ablaze
Lunala,Cosmic Eclipse
Lunala,Guardians Rising
Weavile-GX,Unified Minds
Dawn Wings Necrozma,SM Black Star Promos
Incineroar-GX,Team Up
Snorlax,SWSH Black Star Promos
Hoopa,XY Black Star Promos
Arctovish,Darkness Ablaze
Coalossal,SWSH Black Star Promos
Coalossal,Rebel Clash
Coalossal,Darkness Ablaze
M Mawile-EX,XY Black Star Promos
M Metagross-EX,XY Black Star Promos
M Pidgeot-EX,Evolutions
Armored Mewtwo,SM Black Star Promos
M Swampert-EX,XY Black Star Promos
M Venusaur-EX,Generations
Rhyperior,XY
Butterfree V,Darkness Ablaze
Volcanion-EX,XY Black Star Promos
Volcanion-EX,Steam Siege
Dragapult VMAX,Rebel Clash
Hydreigon,Darkness Ablaze
Hydreigon,Phantom Forces
Rillaboom VMAX,Rebel Clash
Hoopa,Steam Siege
Articuno-GX,Celestial Storm
Articuno-GX,Hidden Fates
Tapu Koko-GX,Hidden Fates
Luxray BREAK,BREAKpoint
Galarian Slowbro V,Darkness Ablaze
Ho-Oh-EX,BREAKpoint
Malamar V,Rebel Clash
Snorlax,Sword & Shield
Tapu Koko-GX,SM Black Star Promos
Solgaleo,Celestial Storm
Dragonite-EX,Evolutions
Tapu Koko-GX,Guardians Rising
Ash-Greninja-EX,XY Black Star Promos
Vaporeon-EX,Generations
Shining Lugia,SM Black Star Promos
Gallade-EX,XY Black Star Promos
Pangoro,Guardians Rising
Arcanine,Rebel Clash
Magnezone,Ultra Prism
Magnezone,Hidden Fates
Magnezone,Forbidden Light
Eelektross,Unified Minds
Wigglytuff-GX,Hidden Fates
Sceptile-GX,Lost Thunder
Drednaw V,Champion's Path
Zamazenta V,Sword & Shield
Zamazenta V,SWSH Black Star Promos
Zamazenta,SWSH Black Star Promos
Dugtrio,Evolutions
Kyurem-EX,Ancient Origins
Mewtwo,Detective Pikachu
Yanmega,Vivid Voltage
Rayquaza-EX,Roaring Skies
Rayquaza-EX,XY Black Star Promos
Entei,Ancient Origins
Xerneas,Crimson Invasion
Gyarados-EX,BREAKpoint
Gyarados-EX,XY Black Star Promos
Sceptile-EX,XY Black Star Promos
Cresselia,Battle Academy (Mewtwo)
Kyogre,Cosmic Eclipse
Empoleon,Cosmic Eclipse
Drednaw,Sword & Shield
Typhlosion,BREAKthrough
Hariyama,Sun & Moon
Drednaw,SWSH Black Star Promos
Cresselia,Unified Minds
Tyranitar,Team Up
Charizard,Generations
Flygon,Darkness Ablaze
Tyranitar-EX,Ancient Origins
Suicune,Darkness Ablaze
Meowth V,SWSH Black Star Promos
Haxorus,BREAKthrough
Charizard,Dragon Majesty
Flareon,SM Black Star Promos
Rayquaza,XY Black Star Promos
Regirock,Vivid Voltage
Darkrai-GX,Burning Shadows
Excadrill,Vivid Voltage
Blaziken,Dark Explorers
Blaziken,Darkness Ablaze
Zygarde,Champion's Path
Grapploct,Sword & Shield
Tornadus-GX,SM Black Star Promos
Granbull,Darkness Ablaze
Kommo-o,Crimson Invasion
Greninja-GX,SM Black Star Promos
Darkrai-GX,Hidden Fates
Kingler,Unbroken Bonds
Poliwrath,Furious Fists
Aegislash,Rebel Clash
Aegislash V,Vivid Voltage
Feraligatr,Shining Legends
Krookodile-EX,XY Black Star Promos
Groudon,Celestial Storm
Groudon,Cosmic Eclipse
Goodra,Phantom Forces
Goodra,Guardians Rising
Togekiss V,Vivid Voltage
Groudon-EX,Primal Clash
Groudon-EX,XY Black Star Promos
Corviknight,Sword & Shield
Escavalier,Crimson Invasion
Flareon,Battle Academy (Charizard)
Seismitoad-EX,Furious Fists
Zekrom,Vivid Voltage
Zekrom,Shining Legends
Mudsdale,Burning Shadows
Wishiwashi,Cosmic Eclipse
Hydreigon,SWSH Black Star Promos
Dialga,Lost Thunder
Heatran,Forbidden Light
Lucario-GX,Hidden Fates
Drapion,Sword & Shield
White Kyurem,Fates Collide
Giratina,SM Black Star Promos
Salamence-EX,XY Black Star Promos
Dialga,Vivid Voltage
Lucario-GX,Forbidden Light
Salamence,XY Black Star Promos
Drapion V,Vivid Voltage
Raichu,Burning Shadows
Dhelmise,Celestial Storm
Drapion,BREAKpoint
Barraskewda,Rebel Clash
Lucario-GX,SM Black Star Promos
Ninetales-EX,Generations
Giratina-EX,Dragons Exalted
Heatran-GX,Unified Minds
Electivire,Ultra Prism
Heatran,SM Black Star Promos
Heatran,Ultra Prism
Melmetal,Unbroken Bonds
Melmetal,SM Black Star Promos
Charizard,Battle Academy (Charizard)
Melmetal,Darkness Ablaze
Reshiram,Shining Legends
Inteleon V,SWSH Black Star Promos
Giratina,Lost Thunder
Inteleon V,Rebel Clash
Heatran,Phantom Forces
White Kyurem,XY Black Star Promos
Garchomp-EX,XY Black Star Promos
Rhyperior,Sword & Shield
Heliolisk,Guardians Rising
Corviknight,Darkness Ablaze
Heatmor,Rebel Clash
Talonflame,Darkness Ablaze
Magearna-EX,Steam Siege
Toxtricity V,SWSH Black Star Promos
Ninetales,Evolutions
Talonflame,Phantom Forces
Golurk,Shining Legends
Snorlax,Flashfire
Blaine's Arcanine,Gym Challenge
Snorlax,Generations
Black Kyurem,XY Black Star Promos
Rayquaza,SWSH Black Star Promos
Mudsdale,Sword & Shield
Victini,Noble Victories
Team Magma's Aggron,Double Crisis
Magearna-EX,XY Black Star Promos
Dragonite,Team Up
Gigalith,Dragons Exalted
Dusknoir,Vivid Voltage
Blastoise-EX,XY
Dubwool V,SWSH Black Star Promos
Blastoise-EX,XY Black Star Promos
Noivern,BREAKthrough
Torkoal V,Sword & Shield
Grapploct V,Champion's Path
Tornadus,Vivid Voltage
Noivern,Unified Minds
Reshiram,Next Destinies
Noivern-GX,Burning Shadows
Dubwool V,Rebel Clash
Granbull,BREAKthrough
Dubwool,Sword & Shield
Hydreigon,Dragon Majesty
Reshiram,Legendary Treasures
Hydreigon,Crimson Invasion
Greninja-EX,XY Black Star Promos
Noivern-GX,Hidden Fates
Togepi & Cleffa & Igglybuff-GX,Cosmic Eclipse
Reshiram,Black & White
Vikavolt,Unbroken Bonds
Reshiram,BW Black Star Promos
Quagsire,Unbroken Bonds
Marshadow-GX,Burning Shadows
Muk & Alolan Muk-GX,Unbroken Bonds
Marshadow-GX,SM Black Star Promos
Togekiss VMAX,Vivid Voltage
Gigalith,Sun & Moon
Heliolisk,Rebel Clash
Muk,Darkness Ablaze
Slaking,Furious Fists
Mewtwo-GX,Battle Academy (Mewtwo)
Snorlax,Rebel Clash
Raikou,Vivid Voltage
Genesect,Vivid Voltage
Glalie,Cosmic Eclipse
Silvally-GX,SM Black Star Promos
Unfezant,Roaring Skies
Typhlosion,Call of Legends
Tapu Koko,Lost Thunder
Raichu,Undaunted
Magnezone,Unified Minds
Silvally-GX,Ultra Prism
Typhlosion,HeartGold & SoulSilver
Typhlosion,Lost Thunder
Braviary,Steam Siege
Tyranitar,Celestial Storm
Rhydon,Burning Shadows
Raichu,Sword & Shield
Tyranitar,Unleashed
Regigigas,Legends Awakened
Raichu ex,EX Sandstorm
Tyranitar ex,EX Unseen Forces
Tapu Koko ◇,Team Up
Pyroar,XY Black Star Promos
Nidoking BREAK,Evolutions
Gastrodon,Crimson Invasion
Beedrill,Vivid Voltage
Dragonite ex,EX Dragon
Copperajah,Darkness Ablaze
Gogoat,Forbidden Light
Haxorus,Noble Victories
Heatran,Celestial Storm
Silvally-GX,Hidden Fates
Ursaring,Cosmic Eclipse
Mewtwo-EX,XY Black Star Promos
Bewear,SM Black Star Promos
Mewtwo-EX,Next Destinies
Mewtwo-EX,Legendary Treasures
Mewtwo-EX,BW Black Star Promos
Mewtwo-EX,BREAKthrough
Trevenant,Cosmic Eclipse
Trevenant,Rebel Clash
Heatmor,Dragon Majesty
Golisopod,Unified Minds
Mandibuzz,Team Up
Magmortar,Unified Minds
Mewtwo LV.X,Legends Awakened
Mewtwo LV.X,DP Black Star Promos
Nihilego-GX,Hidden Fates
Gardevoir V,Champion's Path
Nihilego-GX,Crimson Invasion
Drapion,Unified Minds
Mewtwo,Legendary Treasures
Thundurus,Unified Minds
Bewear,Cosmic Eclipse
Vespiquen,Lost Thunder
Bewear,Burning Shadows
Onix,Lost Thunder
Tapu Bulu,Lost Thunder
Golem ex,EX Dragon
Guzzlord,Cosmic Eclipse
Duraludon,Vivid Voltage
Gyarados,Legendary Treasures
Silvally,Unified Minds
Silvally-GX,Crimson Invasion
Gardevoir-EX,Steam Siege
Ursaring,Darkness Ablaze
Blastoise-EX,Evolutions
Zapdos,Roaring Skies
Swampert,Primal Clash
Luxray,POP Series 8
Kyogre,Celestial Storm
Luxray,Flashfire
Galarian Runerigus,Rebel Clash
Lurantis-GX,Sun & Moon
Kyogre,SM Black Star Promos
Swampert-EX,XY Black Star Promos
Flareon,SWSH Black Star Promos
Aggron,Crimson Invasion
Zapdos,SM Black Star Promos
Eelektross,Vivid Voltage
Lunala-GX,Ultra Prism
Lunala-GX,Sun & Moon
Darkrai ◇,Ultra Prism
Ampharos V,Vivid Voltage
Zapdos,Generations
Infernape,Plasma Storm
Lugia-EX,Plasma Storm
Lugia-EX,Legendary Treasures
Lugia-EX,BW Black Star Promos
Luxray,Rebel Clash
Luxray,SWSH Black Star Promos
Zekrom,BW Black Star Promos
Zekrom,Black & White
Zoroark,SM Black Star Promos
Eiscue V,Rebel Clash
Lycanroc-GX,Hidden Fates
Aerodactyl,Fates Collide
Chesnaught-EX,XY Black Star Promos
Wailord V,Champion's Path
Wailord-EX,Primal Clash
Arcanine,Secret Wonders
Seismitoad,Rebel Clash
Krookodile,Sun & Moon
Walrein,Cosmic Eclipse
Walrein,Flashfire
Aerodactyl-GX,Unified Minds
Zeraora,Team Up
Rotom,Forbidden Light
Gallade,Cosmic Eclipse
Zekrom,Next Destinies
Zekrom,Legendary Treasures
Rotom,Ultra Prism
Lugia,Secret Wonders
Lugia,Darkness Ablaze
Pincurchin V,Rebel Clash
Primarina-GX,SM Black Star Promos
Stonjourner,Rebel Clash
Xerneas-GX,Forbidden Light
Salazzle,Sword & Shield
Alolan Sandslash-GX,SM Black Star Promos
Stoutland,Sun & Moon
Sceptile,Primal Clash
Pikachu on the Ball,Pokémon Futsal
Pikachu VMAX,Vivid Voltage
Samurott,Vivid Voltage
Latios-GX,Unified Minds
Delphox,Kalos Starter Set
Alolan Persian-GX,Cosmic Eclipse
Charizard,Expedition Base Set
Floatzel,Shining Legends
Alolan Muk-GX,Burning Shadows
Latios,POP Series 7
Deoxys,Celestial Storm
Charizard,Secret Wonders
Latios,Great Encounters
Primarina-GX,Guardians Rising
Forretress,Vivid Voltage
Ludicolo,Rebel Clash
Salamence ex,EX Deoxys
Porygon-Z,Unbroken Bonds
Kyurem,Plasma Freeze
Zamazenta,Rebel Clash
Probopass,Rebel Clash
Zacian,Rebel Clash
Yveltal BREAK,Steam Siege
Yveltal,Unified Minds
Kyurem-EX,BW Black Star Promos
Probopass,Guardians Rising
Kyurem-EX,Legendary Treasures
Lucario,SM Black Star Promos
Lucario,Burning Shadows
Kyurem-EX,Next Destinies
Inteleon,Sword & Shield
Yanmega,Ultra Prism
Whiscash,Primal Clash
Salamence,Stormfront
Charizard δ,EX Crystal Guardians
Primarina-GX,Sun & Moon
Lycanroc-GX,Team Up
Emboar,Boundaries Crossed
Eternatus V,SWSH Black Star Promos
Excadrill-EX,Legendary Treasures
M Blastoise-EX,XY
Palkia-EX,BREAKpoint
Excadrill,Cosmic Eclipse
M Gengar-EX,XY Black Star Promos
Dracovish,Darkness Ablaze
Zygarde,Fates Collide
Exploud,Vivid Voltage
Arceus,XY Black Star Promos
M Sharpedo-EX,XY Black Star Promos
Decidueye,Sun & Moon
Dragapult,Rebel Clash
Stakataka-GX,Celestial Storm
M Venusaur-EX,Evolutions
Camerupt,Crimson Invasion
Krabby,Sword & Shield
M Camerupt-EX,XY Black Star Promos
M Venusaur-EX,XY
Stakataka-GX,Hidden Fates
Decidueye,SM Black Star Promos
Eternatus V,Darkness Ablaze
Donphan,SWSH Black Star Promos
Machamp,Evolutions
Zygarde-GX,SM Black Star Promos
Garchomp,Supreme Victors
M Aggron-EX,Primal Clash
Staraptor,SM Trainer Kit (Alolan Sandslash)
Donphan,Vivid Voltage
Aegislash,XY
Zygarde,XY Black Star Promos
M Ampharos-EX,Ancient Origins
M Scizor-EX,BREAKpoint
Staraptor,Crimson Invasion
Volcarona,Steam Siege
Machamp,Plasma Blast
M Blastoise-EX,Evolutions
Staraptor,BREAKthrough
M Gyarados-EX,BREAKpoint
Altaria-GX,Hidden Fates
Pelipper,Rebel Clash
Granbull,Lost Thunder
Lugia,Team Up
Altaria-GX,Dragon Majesty
Bastiodon,Ultra Prism
Keldeo-GX,Unified Minds
Centiskorch,SWSH Black Star Promos
Giratina,XY Black Star Promos
Celesteela-GX,Unbroken Bonds
Duraludon,Rebel Clash
M Tyranitar-EX,Ancient Origins
Darmanitan,Unbroken Bonds
Kyurem,Unbroken Bonds
Reshiram,Roaring Skies
Heracross,Rebel Clash
Centiskorch,Sword & Shield
Regirock,Crimson Invasion
Sylveon-GX,Hidden Fates
Alolan Muk,Cosmic Eclipse
Sylveon-GX,Guardians Rising
Abomasnow,BREAKthrough
Flygon,Dragon Majesty
Latias,SM Black Star Promos
Suicune,BREAKpoint
Naganadel-GX,Forbidden Light
Naganadel-GX,Hidden Fates
Naganadel-GX,SM Black Star Promos
Latios-EX,Roaring Skies
Latios-EX,XY Black Star Promos
Stakataka,SM Black Star Promos
Stoutland,Cosmic Eclipse
Leafeon-GX,Hidden Fates
Raichu,Unbroken Bonds
Leafeon-GX,SM Black Star Promos
Leafeon-GX,Ultra Prism
Salazzle-GX,SM Black Star Promos
Salazzle-GX,Burning Shadows
Stakataka,Unbroken Bonds
Melmetal-GX,SM Black Star Promos
Lickilicky,Ultra Prism
Terrakion,SM Black Star Promos
Slurpuff,Cosmic Eclipse
Volcarona,Darkness Ablaze
